sunday,monday,tuesday,wednesday,thursday,friday,saturday,hourofday,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,estimated_distance,fare_amount
0,0,0,0,0,0,1,12,40.734911,-73.99111,40.749902,-73.988015,1,2.21969129273,8.5
1,0,0,0,0,0,0,21,40.782195,-73.97166,40.756648,-73.993847,1,4.47319353701,8.5
0,0,0,1,0,0,0,12,40.775557,-73.958508,40.75268,-73.97915,1,4.05353448766,11.0
0,0,0,1,0,0,0,12,40.76233,-73.972552,40.743512,-73.983702,6,3.01746469943,11.0
0,0,0,0,0,0,1,10,40.7725,-73.986115,40.714387,-73.992712,2,8.53269947411,23.0
0,1,0,0,0,0,0,15,40.751473,-73.993852,40.752643,-73.996947,5,0.383323037073,10.1
1,0,0,0,0,0,0,13,40.715613,-74.011248,40.708493,-74.001538,1,1.49806485954,6.1
0,0,0,0,1,0,0,9,40.767848,-73.983858,40.757735,-73.9664,1,2.4352727578,6.1
0,1,0,0,0,0,0,19,40.756025,-73.983616,40.785592,-73.972371,1,4.50117990866,10.3
0,0,0,0,0,0,1,22,40.758824,-73.981451,40.775306,-73.949374,3,4.29469120368,10.1
0,0,0,1,0,0,0,9,40.738283,-73.992777,40.749583,-73.978103,1,2.31899480832,8.5
0,0,0,0,1,0,0,18,40.7664604187,-73.9693527222,40.7782859802,-73.9887390137,1,2.75781023934,9.0
0,0,0,0,0,1,0,23,40.7409,-73.985083,40.778155,-73.944632,1,7.05645169907,12.5
0,0,0,0,1,0,0,11,40.774831,-73.959064,40.750022,-73.994081,1,5.31282184459,19.5
0,1,0,0,0,0,0,9,40.732784,-73.990022,40.742245,-73.993305,1,1.43108423351,6.1
0,0,0,0,0,1,0,7,40.74377,-74.007055,40.768334,-73.861645,2,16.5092320753,34.9
1,0,0,0,0,0,0,12,40.746948,-73.977452,40.753322,-73.986595,1,1.37700908692,6.9
0,0,0,1,0,0,0,9,40.718542,-73.98809,40.71987,-74.008015,1,2.21771013346,6.9
0,0,0,0,0,0,1,14,40.76744,-73.961768,40.749872,-73.991724,1,4.19802258418,11.3
0,0,0,1,0,0,0,16,40.721856,-73.997325,40.705812,-74.006664,1,2.56536076342,7.7
0,1,0,0,0,0,0,19,40.731252,-73.982597,40.729017,-73.978317,3,0.576211571493,3.5
0,0,1,0,0,0,0,11,40.7591,-73.99233,40.75248,-73.98976,4,1.00944247252,7.0
0,1,0,0,0,0,0,16,40.732207,-73.990225,40.74261,-73.99607,1,1.65401937301,8.5
1,0,0,0,0,0,0,11,40.805072,-73.938867,40.798122,-73.963617,1,2.923260423,9.5
1,0,0,0,0,0,0,11,40.739382,-74.006377,40.767072,-73.968857,1,5.80489084801,15.5
0,1,0,0,0,0,0,11,40.70542,-74.014833,40.695825,-73.99724,5,2.4035977264,10.1
0,0,1,0,0,0,0,15,40.774387,-73.952482,40.768102,-73.958423,1,1.13073756226,4.1
1,0,0,0,0,0,0,21,40.730217,-73.991008,40.74762,-73.98377,4,2.66929206006,6.1
0,0,0,0,0,0,1,12,40.76874,-73.958185,40.707729,-74.003892,1,10.2629342944,15.7
0,1,0,0,0,0,0,19,40.760057,-73.99506,40.769018,-73.982712,2,1.89480759889,5.7
0,0,0,0,0,0,1,20,40.735059,-74.006086,40.7402,-74.005691,1,0.753347039665,4.0
0,0,1,0,0,0,0,22,40.737954,-73.981201,40.725572,-73.984319,1,1.84403794955,5.5
0,0,0,0,1,0,0,0,40.728344,-73.978841,40.720723,-73.987104,1,1.44296679115,5.5
0,0,0,0,1,0,0,19,40.7490310669,-73.9753952026,40.7647323608,-73.9843902588,2,2.50388366926,13.5
0,1,0,0,0,0,0,16,40.760729,-73.961089,40.772508,-73.952457,1,1.97076227292,4.1
0,1,0,0,0,0,0,21,40.761835,-73.965858,40.768802,-73.958313,2,1.31818592597,4.5
0,1,0,0,0,0,0,19,40.787635,-73.971197,40.782015,-73.981077,5,1.36877982505,4.5
0,0,0,0,0,0,1,3,40.760885,-73.961307,40.760268,-73.982703,2,2.37252433035,6.5
1,0,0,0,0,0,0,11,40.76465,-73.968423,40.751767,-73.982545,5,2.44962740347,7.0
1,0,0,0,0,0,0,21,40.76811,-73.958688,40.75862,-73.976192,6,2.38513627867,7.3
0,0,0,1,0,0,0,21,40.711258,-74.016092,40.746668,-73.986705,1,6.1193794589,12.1
0,0,0,0,0,0,1,3,40.721935,-73.993477,40.765363,-73.983073,1,6.45685604159,11.7
0,0,0,0,0,0,1,1,40.73381,-74.002567,40.673852,-73.968762,5,9.53882734268,15.3
0,0,0,0,1,0,0,9,40.777482,-73.97891,40.763152,-73.96243,1,2.77996245956,7.7
0,0,0,1,0,0,0,7,40.7389717102,-73.9834976196,40.7577476501,-73.969581604,6,3.15008672907,8.5
0,0,0,0,0,0,1,20,40.721275,-73.997943,40.74672,-73.990152,2,3.82120776839,9.5
0,0,1,0,0,0,0,21,40.744927,-73.988493,40.76901,-73.98476,1,3.54728869225,10.5
0,0,1,0,0,0,0,7,40.756564,-73.997582,40.715162,-74.012954,1,6.2917967754,14.5
0,0,0,0,1,0,0,18,40.7649879456,-73.9547042847,40.7498970032,-73.987991333,1,4.2987584119,16.0
0,0,0,0,1,0,0,7,40.793212,-73.974177,40.77479,-73.962352,1,2.9963886314,7.3
0,0,0,0,0,1,0,0,40.749663,-73.995204,40.833278,-73.94083,1,13.6340735792,20.9
0,0,0,0,1,0,0,16,40.73375,-74.002683,40.74093,-74.00509,1,1.08371367163,4.9
0,0,1,0,0,0,0,7,40.755581,-73.991365,40.77123,-73.965928,1,3.63104631176,7.7
0,1,0,0,0,0,0,19,40.761435,-73.99422,40.764052,-73.986123,1,0.97543606334,4.5
1,0,0,0,0,0,0,11,40.753235,-73.969643,40.75892,-73.962618,5,1.1391481297,5.0
0,0,0,1,0,0,0,17,40.770155,-73.990482,40.758165,-73.973178,1,2.59856325314,13.5
0,0,0,0,0,0,1,1,40.757645,-73.971928,40.738407,-73.87836,1,10.744968809,16.5
0,0,0,1,0,0,0,21,40.785602,-73.950212,40.779587,-73.97598,2,2.98686028323,8.1
0,1,0,0,0,0,0,11,40.752222,-73.993282,40.752653,-73.981305,1,1.32878356257,6.1
0,0,0,1,0,0,0,21,40.752283,-73.999618,40.688315,-74.000822,1,9.35879048538,23.7
0,0,0,0,0,1,0,3,40.7072,-73.9541,40.71599,-73.993065,1,4.5080238572,8.9
1,0,0,0,0,0,0,13,40.765252,-73.979528,40.765277,-73.972037,4,0.829997816495,6.1
0,0,1,0,0,0,0,21,40.756214,-73.970238,40.78125,-73.981947,2,3.88546241278,9.3
0,0,0,0,0,1,0,15,40.733542,-73.987162,40.728658,-73.991182,2,0.842063485123,4.0
0,0,0,0,0,0,1,11,40.747394,-73.978835,40.737314,-73.985456,1,1.64710925192,4.5
0,0,0,1,0,0,0,11,40.757638,-73.976178,40.763228,-73.978647,1,0.862307302324,4.5
0,0,0,0,0,1,0,14,40.760746,-73.998283,40.751398,-74.005014,1,1.55770283813,5.0
0,0,0,0,0,1,0,3,40.70352,-73.931976,40.707531,-73.95506,1,2.62634997577,6.5
0,0,0,1,0,0,0,9,40.777055,-73.982108,40.731353,-74.008631,1,7.30326313601,14.5
0,0,0,0,0,0,1,9,40.758162,-73.962885,40.748901,-74.008352,1,5.2175154682,16.0
0,0,0,0,0,0,1,21,40.643712,-73.790322,40.733149,-73.986644,2,25.4053433496,56.8
0,0,0,1,0,0,0,8,40.748329,-73.980062,40.760667,-73.966874,1,2.32240151686,5.3
0,1,0,0,0,0,0,14,40.762884,-73.967502,40.760527,-73.983672,1,1.82458004053,8.1
0,0,0,0,0,1,0,1,40.746875,-73.981193,40.778784,-73.958236,1,5.31602164562,8.9
1,0,0,0,0,0,0,11,40.669612,-73.989227,40.666507,-73.982497,2,0.874057645067,3.5
0,0,0,0,0,0,1,17,40.768185,-73.956368,40.777467,-73.976802,1,2.63979950812,10.5
0,1,0,0,0,0,0,19,40.766745,-73.983523,40.767545,-73.955232,1,3.13668886465,10.5
0,1,0,0,0,0,0,16,40.771927,-73.9656,40.765947,-73.978967,5,1.72003817694,11.5
0,0,0,1,0,0,0,21,40.748472,-73.98039,40.711372,-74.015808,3,6.69866457132,12.5
0,0,0,0,0,0,1,10,40.71685,-73.95662,40.724622,-73.993535,5,4.24784155939,14.5
1,0,0,0,0,0,0,21,40.730502,-74.00677,40.652792,-73.959332,1,12.5268503697,25.0
0,0,0,1,0,0,0,21,40.749422,-73.975553,40.784965,-73.974502,1,5.20086681476,10.1
0,0,0,1,0,0,0,21,40.766335,-73.960218,40.73404,-74.002487,1,6.65309275095,12.1
0,0,0,0,1,0,0,9,40.734958,-74.008382,40.765863,-73.99476,1,4.76645433016,9.7
0,0,0,0,1,0,0,21,40.778918,-73.956026,40.772658,-73.958372,2,0.951935390344,3.7
1,0,0,0,0,0,0,13,40.785547,-73.949963,40.720408,-73.988118,1,10.4251135745,17.3
0,0,0,0,0,1,0,15,40.763257,-73.978992,40.706523,-74.005583,5,8.80745635811,17.3
0,1,0,0,0,0,0,8,40.756132,-73.967776,40.75896,-73.999808,1,3.57353008272,10.9
0,0,0,0,0,1,0,9,40.751883,-73.981406,40.741231,-74.000139,1,2.59589912415,6.5
0,0,1,0,0,0,0,16,40.75044,-73.991112,40.756285,-73.990429,2,0.858404759,8.5
0,0,0,0,0,1,0,7,40.732669,-73.984901,40.760743,-73.980465,3,4.13624997448,10.0
0,1,0,0,0,0,0,19,40.753787,-73.989301,40.721308,-74.001575,1,4.94228016135,10.5
0,0,0,1,0,0,0,21,40.73729,-74.000645,40.729587,-73.98987,2,1.64209470612,4.5
0,1,0,0,0,0,0,19,40.759332,-73.962098,40.768035,-73.958855,2,1.32289202004,4.5
1,0,0,0,0,0,0,23,40.76697,-73.953742,40.76725,-73.964702,2,1.21500585046,5.0
0,0,0,1,0,0,0,15,40.767828,-73.961955,40.77884,-73.960217,1,1.62240444136,6.0
0,1,0,0,0,0,0,19,40.731698,-74.00613,40.729753,-74.000578,1,0.678059083644,5.3
0,1,0,0,0,0,0,14,40.78059,-73.961025,40.754418,-73.981672,5,4.46002565839,10.1
0,0,0,0,0,0,1,1,40.7402,-74.00576,40.75647,-73.968417,3,4.77419758424,11.7
0,1,0,0,0,0,0,14,40.74139,-73.98918,40.722935,-73.99874,2,2.90031866618,6.9
0,1,0,0,0,0,0,19,40.753765,-73.980295,40.714902,-73.982998,5,5.69313385434,11.3
0,0,0,0,0,0,1,1,40.747615,-73.981177,40.75966,-73.987938,1,1.91473160166,5.7
0,0,0,1,0,0,0,9,40.772702,-73.962415,40.757987,-73.977213,1,2.70594738127,7.7
0,1,0,0,0,0,0,14,40.76716,-73.954115,40.781498,-73.955655,1,2.10442391497,7.7
0,0,1,0,0,0,0,10,40.751242,-73.980132,40.758233,-73.975837,1,1.12803624896,4.5
0,0,0,0,0,1,0,8,40.7492752075,-73.9992828369,40.7392616272,-74.0055770874,1,1.62250957861,4.5
0,0,0,1,0,0,0,6,40.782503,-73.978917,40.795109,-73.965936,1,2.33836564279,6.0
0,0,0,0,0,0,1,0,40.764498,-73.995796,40.737592,-74.004299,4,4.04728892536,10.0
0,0,0,0,0,1,0,16,40.759542,-73.976701,40.753919,-73.990743,1,1.76007734956,6.1
0,0,0,0,1,0,0,23,40.799732,-73.967919,40.797804,-73.961492,1,0.765588381543,3.7
0,0,0,0,0,0,1,4,40.739801,-74.005357,40.768739,-73.956016,1,6.91504596294,12.9
0,0,0,0,0,0,1,10,40.764665,-73.966207,40.769155,-73.967193,4,0.665861962522,3.5
0,1,0,0,0,0,0,21,40.770997,-73.980697,40.781542,-73.97909,1,1.55285963906,5.0
0,1,0,0,0,0,0,21,40.731882,-73.982207,40.744412,-73.98043,1,1.84355824162,6.5
0,1,0,0,0,0,0,19,40.78222,-73.982737,40.777067,-73.957827,1,2.86050296007,8.5
0,1,0,0,0,0,0,19,40.75175,-73.977312,40.776362,-73.96233,1,3.96472506775,10.0
0,1,0,0,0,0,0,16,40.753432,-73.977187,40.719312,-74.01031,5,6.19632154807,15.0
0,0,0,1,0,0,0,15,40.703467,-74.010088,40.751322,-73.97861,2,7.8222409073,20.0
0,0,0,0,0,1,0,15,40.715148,-74.015512,40.76335,-73.931535,1,11.677516062,24.5
0,0,0,0,1,0,0,17,40.769249,-73.967871,40.779725,-73.984334,1,2.38221631299,7.3
0,0,0,0,0,0,1,1,40.725347,-73.95167,40.699232,-73.93559,6,4.21596213479,8.1
0,0,1,0,0,0,0,15,40.78031,-73.961512,40.796587,-73.968505,1,2.50395692513,8.1
0,0,0,0,0,1,0,2,40.740875,-74.00512,40.737612,-74.003317,1,0.517488744682,3.3
0,0,0,0,0,1,0,11,40.775546,-73.962636,40.780425,-73.95913,2,0.812573389254,3.7
0,0,0,0,1,0,0,18,40.7875404358,-73.9752120972,40.7924385071,-73.9718170166,1,0.809210312932,3.0
0,0,0,0,0,0,1,10,40.757097,-73.971995,40.75809,-73.976657,1,0.53663649908,9.0
0,0,0,0,0,0,1,12,40.760772,-74.002321,40.739113,-73.997099,1,3.22089952278,11.0
0,0,0,0,1,0,0,19,40.7623329163,-73.9683151245,40.7633056641,-73.988609314,1,2.2531418229,11.5
0,0,0,0,0,1,0,17,40.783365,-73.959135,40.746852,-73.985774,1,6.102700291,15.0
0,0,0,0,0,1,0,17,40.7618408203,-74.0009078979,40.7113418579,-74.0155410767,1,7.56343615392,17.5
0,0,0,1,0,0,0,13,40.725308,-73.981684,40.734359,-73.989437,1,1.57855900804,4.9
0,1,0,0,0,0,0,22,40.755488,-73.986212,40.750224,-74.002165,2,1.92832956525,6.9
0,0,0,0,0,1,0,21,40.753747,-73.991131,40.739157,-73.981857,1,2.3689540276,8.9
0,0,1,0,0,0,0,20,40.6456108093,-73.7879867554,40.7722549438,-73.8711547852,1,20.6953124443,31.0
1,0,0,0,0,0,0,21,40.744792,-73.998938,40.746532,-74.001075,1,0.34768994454,4.5
1,0,0,0,0,0,0,11,40.787518,-73.956073,40.771895,-73.967413,6,2.60794930139,5.5
0,0,1,0,0,0,0,11,40.726262,-73.998645,40.741332,-74.00628,3,2.3614564476,7.5
0,0,0,0,0,0,1,10,40.760337,-73.985817,40.780477,-73.972725,3,3.28394953357,7.5
0,1,0,0,0,0,0,16,40.766375,-73.954042,40.788407,-73.978412,1,4.20430764688,12.5
0,0,0,0,0,0,1,17,40.64543,-73.776853,40.744917,-73.97575,1,26.428926213,49.15
0,1,0,0,0,0,0,14,40.750075,-73.991443,40.767775,-73.98304,5,2.75165119315,10.1
0,0,0,0,0,0,1,17,40.647503,-73.789377,40.666363,-73.985385,1,21.9269746022,36.9
1,0,0,0,0,0,0,21,40.750445,-73.989747,40.690458,-73.990633,2,8.77601021439,17.7
0,1,0,0,0,0,0,15,40.711018,-74.01573,40.751573,-73.97429,1,7.50339511049,16.1
0,0,0,0,0,0,1,1,40.736457,-73.989143,40.739802,-74.004707,1,1.79322509915,6.9
